epoch,train_loss,train_recon_loss,train_kl_loss,valid_loss,valid_recon_loss,valid_kl_loss,l2_loss
0,123.05899810791016,116.79069519042969,273.2286376953125,92.67681884765625,92.67681884765625,232.18492126464844,0.0
1,116.78001403808594,113.36361694335938,24.867752075195312,90.68315124511719,90.68315124511719,139.92311096191406,0.0
2,115.346435546875,112.76828002929688,10.968124389648438,89.61792755126953,89.61792755126953,111.56704711914062,0.0
3,115.05636596679688,112.54186248779297,7.691206932067871,89.094482421875,89.094482421875,90.42005157470703,0.0
4,114.55116271972656,112.33785247802734,5.189136505126953,88.70519256591797,88.70519256591797,77.57530975341797,0.0
5,114.34477233886719,112.20121002197266,4.0981974601745605,88.36756134033203,88.36756134033203,67.78404235839844,0.0
6,114.06218719482422,112.10302734375,3.1759989261627197,88.22129821777344,88.22129821777344,60.63813018798828,0.0
7,114.00897979736328,112.02268981933594,2.787975788116455,87.97980499267578,87.97980499267578,55.10980987548828,0.0
8,113.87045288085938,111.94943237304688,2.3744287490844727,87.78729248046875,87.78729248046875,50.83500289916992,0.0
9,113.80252075195312,111.90064239501953,2.105052947998047,87.57050323486328,87.57050323486328,47.22799301147461,0.0
10,113.67278289794922,111.85343170166016,1.8425610065460205,87.55512237548828,87.55512237548828,44.26909637451172,0.0
11,113.34912109375,111.79991912841797,1.5491316318511963,87.47045135498047,87.47045135498047,42.764984130859375,0.0
12,113.25813293457031,111.75764465332031,1.5005173683166504,87.35965728759766,87.35965728759766,41.035160064697266,0.0
13,113.12380981445312,111.72172546386719,1.4021308422088623,87.24658203125,87.24658203125,39.83735656738281,0.0
14,113.0621566772461,111.69637298583984,1.3658009767532349,87.2244644165039,87.2244644165039,38.653038024902344,0.0
